Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
1,0.0973,27.73,23.82
2,0.0644,28.57,25.07
3,0.0522,30.02,27.1
4,0.0432,30.31,27.82
5,0.0383,30.61,28.73
6,0.034,30.68,29.24
7,0.031,30.92,29.71
8,0.0301,31.06,29.91
9,0.0293,31.09,29.92
10,0.0289,31.13,29.94
11,0.0287,31.23,30.04
12,0.0286,31.16,29.97
13,0.0284,31.11,29.9
14,0.0284,31.13,29.95
15,0.0282,31.19,30
16,0.0281,31.17,29.95
17,0.028,31.24,30.03
18,0.028,31.21,29.98
19,0.0279,31.22,30.02
20,0.0279,31.24,30.03
21,0.0278,31.2,30.01
22,0.0279,31.2,30.01
23,0.0278,31.23,30.01
24,0.0277,31.31,30.09
25,0.0276,31.2,29.97
26,0.0284,31.22,29.96
27,0.028,31.28,30.09
28,0.0277,31.28,30.08
29,0.0276,31.17,29.98
30,0.0277,31.26,30.06
31,0.0277,31.3,30.1
32,0.0275,31.25,30.06
33,0.0275,31.27,30.07
34,0.0274,31.27,30.08
35,0.0275,31.11,29.9
36,0.0274,31.25,30.04
37,0.0274,31.29,30.1
38,0.0276,31.3,30.09
39,0.0274,31.26,30.06
40,0.0274,31.33,30.12
41,0.0273,31.27,30.09
42,0.0273,31.32,30.13
43,0.0274,31.25,30.05
44,0.0272,31.28,30.07
45,0.0274,31.3,30.08
46,0.0272,31.29,30.09
47,0.0274,31.31,30.12
48,0.0272,31.33,30.12
49,0.0272,31.33,30.13
50,0.0272,31.32,30.12
51,0.027,31.31,30.12
52,0.0269,31.32,30.13
53,0.0269,31.34,30.15
54,0.0269,31.33,30.14
55,0.0269,31.19,30.01
56,0.0269,31.26,30.06
57,0.0269,31.33,30.14
58,0.0269,31.35,30.16
59,0.0269,31.35,30.16
60,0.0269,31.31,30.12
61,0.0269,31.32,30.14
62,0.0268,31.34,30.15
63,0.0268,31.11,29.94
64,0.0268,31.35,30.16
65,0.0268,31.38,30.19
66,0.0268,31.36,30.17
67,0.0268,31.34,30.14
68,0.0268,31.31,30.12
69,0.0268,31.37,30.17
70,0.0268,31.38,30.18
71,0.0268,31.39,30.2
72,0.0268,31.39,30.19
73,0.0268,31.37,30.17
74,0.0268,31.4,30.19
75,0.0268,31.35,30.15
76,0.0268,31.37,30.17
77,0.0268,31.36,30.17
78,0.0268,31.37,30.16
79,0.0268,31.39,30.18
80,0.0268,31.33,30.13
81,0.0268,31.39,30.18
82,0.0268,31.37,30.17
83,0.0268,31.35,30.15
84,0.0268,31.38,30.18
85,0.0268,31.34,30.14
86,0.0268,31.38,30.18
87,0.0267,31.37,30.16
88,0.0267,31.38,30.18
89,0.0267,31.34,30.15
90,0.0267,31.33,30.13
91,0.0267,31.4,30.19
92,0.0267,31.39,30.17
93,0.0267,31.37,30.16
94,0.0267,31.41,30.2
95,0.0267,31.4,30.19
96,0.0267,31.38,30.18
97,0.0267,31.41,30.2
98,0.0267,31.38,30.17
99,0.0267,31.4,30.19
100,0.0267,31.39,30.18
101,0.0267,31.38,30.18
102,0.0266,31.35,30.15
103,0.0267,31.4,30.19
104,0.0266,31.38,30.17
105,0.0266,31.39,30.19
106,0.0266,31.39,30.18
107,0.0266,31.39,30.19
108,0.0266,31.4,30.2
109,0.0266,31.41,30.2
110,0.0266,31.31,30.11
111,0.0266,31.4,30.19
112,0.0266,31.38,30.18
113,0.0266,31.42,30.21
114,0.0266,31.4,30.19
115,0.0266,31.38,30.17
116,0.0266,31.35,30.14
117,0.0266,31.41,30.2
118,0.0266,31.34,30.13
119,0.0266,31.4,30.19
120,0.0266,31.41,30.2
121,0.0266,31.4,30.19
122,0.0266,31.37,30.17
123,0.0266,31.4,30.19
124,0.0266,31.41,30.2
125,0.0266,31.41,30.2
126,0.0266,31.41,30.21
127,0.0266,31.38,30.17
128,0.0266,31.38,30.16
129,0.0266,31.32,30.12
130,0.0266,31.42,30.21
131,0.0266,31.42,30.21
132,0.0266,31.39,30.19
133,0.0266,31.37,30.17
134,0.0266,31.43,30.22
135,0.0266,31.31,30.11
136,0.0266,31.39,30.18
137,0.0266,31.39,30.19
138,0.0266,31.4,30.19
139,0.0266,31.41,30.2
140,0.0266,31.37,30.16
141,0.0266,31.4,30.19
142,0.0266,31.43,30.22
143,0.0266,31.39,30.18
144,0.0266,31.39,30.18
145,0.0266,31.41,30.2
146,0.0266,31.41,30.2
147,0.0266,31.42,30.2
148,0.0266,31.41,30.21
149,0.0266,31.43,30.22
150,0.0266,31.41,30.2
151,0.0266,31.43,30.22
152,0.0266,31.41,30.2
153,0.0266,31.41,30.21
154,0.0266,31.41,30.2
155,0.0266,31.38,30.17
156,0.0266,31.4,30.2
157,0.0266,31.37,30.17
158,0.0266,31.42,30.21
159,0.0266,31.42,30.21
160,0.0266,31.39,30.19
161,0.0266,31.4,30.19
162,0.0266,31.41,30.2
163,0.0266,31.42,30.21
164,0.0266,31.41,30.2
165,0.0266,31.4,30.2
166,0.0266,31.41,30.21
167,0.0266,31.38,30.18
168,0.0266,31.37,30.17
169,0.0266,31.39,30.18
170,0.0266,31.4,30.19
171,0.0266,31.42,30.2
172,0.0266,31.4,30.2
173,0.0266,31.39,30.18
174,0.0266,31.44,30.23
175,0.0266,31.43,30.22
176,0.0266,31.41,30.2
177,0.0266,31.42,30.21
178,0.0266,31.41,30.2
179,0.0266,31.38,30.17
180,0.0266,31.41,30.2
181,0.0266,31.4,30.19
182,0.0266,31.43,30.22
183,0.0266,31.42,30.2
184,0.0266,31.39,30.18
185,0.0266,31.42,30.21
186,0.0266,31.42,30.21
187,0.0266,31.43,30.22
188,0.0266,31.44,30.22
189,0.0266,31.42,30.21
190,0.0266,31.43,30.21
191,0.0266,31.44,30.23
192,0.0266,31.4,30.19
193,0.0266,31.4,30.19
194,0.0266,31.41,30.2
195,0.0266,31.43,30.22
196,0.0266,31.41,30.2
197,0.0266,31.43,30.22
198,0.0266,31.43,30.22
199,0.0266,31.41,30.2
200,0.0266,31.42,30.21
201,0.0265,31.41,30.2
202,0.0265,31.41,30.2
203,0.0265,31.43,30.21
204,0.0265,31.38,30.18
205,0.0265,31.42,30.21
206,0.0265,31.42,30.21
207,0.0265,31.41,30.2
208,0.0265,31.39,30.18
209,0.0265,31.41,30.2
210,0.0265,31.41,30.2
211,0.0265,31.42,30.21
212,0.0265,31.41,30.2
213,0.0265,31.43,30.22
214,0.0265,31.4,30.19
215,0.0265,31.4,30.2
216,0.0265,31.43,30.22
217,0.0265,31.43,30.22
218,0.0265,31.42,30.21
219,0.0265,31.43,30.22
220,0.0265,31.39,30.18
221,0.0265,31.43,30.22
222,0.0265,31.39,30.19
223,0.0265,31.44,30.23
224,0.0265,31.42,30.21
225,0.0265,31.44,30.23
226,0.0265,31.41,30.2
227,0.0265,31.42,30.21
228,0.0265,31.42,30.21
229,0.0265,31.42,30.21
230,0.0265,31.42,30.2
231,0.0265,31.41,30.2
232,0.0265,31.42,30.21
233,0.0265,31.41,30.21
234,0.0265,31.43,30.22
235,0.0265,31.4,30.19
236,0.0265,31.38,30.17
237,0.0265,31.43,30.22
238,0.0265,31.42,30.21
239,0.0265,31.4,30.19
240,0.0265,31.41,30.2
241,0.0265,31.42,30.21
242,0.0265,31.43,30.22
243,0.0265,31.42,30.21
244,0.0265,31.44,30.22
245,0.0265,31.42,30.21
246,0.0265,31.42,30.22
247,0.0265,31.43,30.22
248,0.0265,31.42,30.22
249,0.0265,31.44,30.23
250,0.0265,31.4,30.19
251,0.0265,31.41,30.2
252,0.0265,31.42,30.21
253,0.0265,31.42,30.22
254,0.0265,31.42,30.21
255,0.0265,31.42,30.21
256,0.0265,31.43,30.22
257,0.0265,31.41,30.2
258,0.0265,31.42,30.21
259,0.0265,31.43,30.22
260,0.0265,31.42,30.21
261,0.0265,31.4,30.2
262,0.0265,31.41,30.2
