Epoch,Avg. Loss_r,Avg. Loss_g,Avg. PSNR1,Avg. PSNR2
1,0.6847,0.4155,21.11,15.24
2,0.4261,0.2744,22.89,17.86
3,0.3299,0.2162,24.83,20.77
4,0.2565,0.1746,25.85,22.33
5,0.2213,0.1475,25.79,24.01
6,0.1921,0.1451,26.6,25.0
7,0.1714,0.1178,26.03,23.52
8,0.166,0.1169,27.52,25.71
9,0.1496,0.1034,26.76,24.85
10,0.1447,0.0975,27.04,26.3
11,0.1377,0.0943,27.09,25.9
12,0.1297,0.0908,26.7,25.25
13,0.1256,0.0873,27.81,26.53
14,0.1195,0.0841,27.05,25.83
15,0.1223,0.0839,27.83,26.47
16,0.1132,0.0802,27.29,26.12
17,0.1216,0.082,27.02,25.97
18,0.1106,0.0781,27.6,26.32
19,0.111,0.078,26.83,25.97
20,0.108,0.0767,27.76,26.3
21,0.1152,0.0787,26.31,25.54
22,0.1132,0.078,27.25,26.27
23,0.1113,0.0773,27.15,26.27
24,0.1094,0.0768,27.8,26.64
25,0.107,0.0765,27.38,25.93
26,0.1248,0.0798,27.31,26.24
27,0.1107,0.0765,27.37,26.13
28,0.1065,0.0756,27.05,25.54
29,0.1056,0.0748,27.72,26.55
30,0.103,0.0749,26.97,26.0
31,0.1035,0.0748,27.66,26.54
32,0.1022,0.074,27.3,25.95
33,0.1022,0.0739,27.89,26.6
34,0.102,0.0745,27.01,26.19
35,0.1014,0.0736,26.74,25.74
36,0.1011,0.0733,27.27,26.49
37,0.1007,0.0731,27.06,26.14
38,0.1134,0.0759,27.47,26.22
39,0.1035,0.0738,27.7,26.56
40,0.1012,0.0732,27.68,26.56
41,0.1002,0.0744,27.75,26.53
42,0.0991,0.0726,25.79,25.19
43,0.0991,0.0724,27.51,26.41
44,0.0987,0.0722,27.66,26.52
45,0.0992,0.0724,27.47,26.44
46,0.0982,0.0721,27.51,26.47
47,0.0979,0.0721,27.32,26.15
48,0.0981,0.0718,27.88,26.7
49,0.0978,0.0724,27.06,26.19
50,0.0975,0.0721,27.25,26.21
51,0.0944,0.0701,27.9,26.7
52,0.0942,0.07,27.61,26.58
53,0.0942,0.07,27.76,26.55
54,0.0941,0.07,27.34,26.35
55,0.094,0.07,27.4,26.3
56,0.0939,0.0699,27.84,26.69
57,0.0938,0.0699,27.59,26.65
58,0.0939,0.0698,27.79,26.52
59,0.0938,0.0698,27.09,26.14
60,0.0937,0.0698,27.72,26.55
61,0.0938,0.0697,27.52,26.44
62,0.0936,0.0697,27.56,26.61
63,0.0937,0.0697,27.86,26.63
64,0.0934,0.0696,26.82,25.89
65,0.0935,0.0696,27.65,26.36
66,0.0935,0.0696,27.76,26.57
67,0.0934,0.0696,27.67,26.56
68,0.0935,0.0696,27.8,26.6
69,0.0931,0.0695,27.4,26.42
70,0.0933,0.0695,27.69,26.56
71,0.0932,0.0695,27.32,26.4
72,0.0932,0.0694,27.72,26.45
73,0.0932,0.0694,27.35,26.48
74,0.0932,0.0694,27.45,26.43
75,0.0931,0.0694,27.52,26.59
76,0.0931,0.0694,27.7,26.62
77,0.0931,0.0693,27.62,26.54
78,0.093,0.0693,27.82,26.49
79,0.0929,0.0692,27.32,26.29
80,0.0929,0.0693,27.05,26.25
81,0.0929,0.0692,27.22,26.26
82,0.0928,0.0692,27.58,26.46
83,0.0928,0.0692,27.8,26.66
84,0.0929,0.0692,27.87,26.71
85,0.0928,0.0692,27.42,26.35
86,0.0927,0.0692,27.58,26.6
87,0.0928,0.0692,27.3,26.47
88,0.0927,0.0692,27.5,26.45
89,0.0928,0.0693,27.61,26.44
90,0.0927,0.0691,27.93,26.69
91,0.0927,0.0692,27.53,26.51
92,0.0927,0.0691,27.68,26.5
93,0.0925,0.0691,27.53,26.49
94,0.0927,0.0691,27.56,26.56
95,0.0925,0.069,28.09,26.75
96,0.0926,0.0691,27.65,26.47
97,0.0925,0.0691,28.01,26.81
98,0.0925,0.0691,27.53,26.51
99,0.0924,0.069,27.35,26.39
100,0.0924,0.069,27.89,26.63
101,0.0915,0.0686,27.44,26.43
102,0.0915,0.0686,27.76,26.6
103,0.0915,0.0685,27.79,26.7
104,0.0915,0.0685,27.76,26.58
105,0.0916,0.0686,27.76,26.67
106,0.0915,0.0685,27.35,26.4
107,0.0914,0.0685,27.37,26.31
108,0.0914,0.0685,27.84,26.59
109,0.0914,0.0685,27.59,26.59
110,0.0914,0.0685,28.06,26.76
111,0.0914,0.0685,27.74,26.57
112,0.0913,0.0684,27.56,26.52
113,0.0914,0.0685,27.68,26.52
114,0.0913,0.0685,27.48,26.41
115,0.0914,0.0685,27.5,26.49
116,0.0914,0.0685,27.97,26.78
117,0.0913,0.0684,27.84,26.72
118,0.0913,0.0684,27.65,26.57
119,0.0913,0.0684,27.55,26.49
120,0.0913,0.0684,27.43,26.42
121,0.0914,0.0684,27.83,26.69
122,0.0913,0.0684,27.59,26.49
123,0.0912,0.0684,27.72,26.54
124,0.0913,0.0684,27.61,26.52
125,0.0912,0.0684,27.45,26.56
126,0.0913,0.0684,27.61,26.52
127,0.0913,0.0684,27.8,26.7
128,0.0912,0.0684,27.68,26.59
129,0.0912,0.0684,27.74,26.66
130,0.0912,0.0684,27.88,26.74
131,0.0912,0.0684,27.57,26.56
132,0.0912,0.0684,27.7,26.58
133,0.0912,0.0684,27.63,26.46
134,0.0912,0.0684,27.62,26.6
135,0.0912,0.0684,27.66,26.55
136,0.0911,0.0683,27.89,26.72
137,0.0911,0.0683,27.52,26.52
138,0.0911,0.0683,27.8,26.59
139,0.0912,0.0683,27.62,26.55
140,0.0911,0.0683,27.68,26.52
141,0.0911,0.0683,27.67,26.5
142,0.0911,0.0683,27.83,26.65
143,0.0911,0.0683,27.49,26.52
144,0.091,0.0683,27.74,26.61
145,0.0911,0.0683,27.73,26.56
146,0.091,0.0683,27.91,26.77
147,0.0911,0.0683,27.56,26.47
148,0.091,0.0683,27.72,26.66
149,0.0911,0.0683,27.73,26.59
150,0.091,0.0683,27.54,26.47
151,0.0907,0.0681,27.73,26.6
152,0.0906,0.0681,27.5,26.49
153,0.0906,0.0681,27.66,26.59
154,0.0906,0.0681,27.58,26.56
155,0.0906,0.0681,27.52,26.55
156,0.0906,0.0681,27.55,26.52
157,0.0906,0.0681,27.7,26.6
158,0.0906,0.0681,27.72,26.6
159,0.0906,0.0681,27.68,26.57
160,0.0906,0.0681,27.63,26.51
161,0.0905,0.0681,27.56,26.55
162,0.0905,0.0681,27.75,26.73
163,0.0905,0.0681,27.59,26.58
164,0.0905,0.0681,27.52,26.47
165,0.0905,0.0681,27.72,26.55
166,0.0906,0.0681,27.59,26.53
167,0.0905,0.0681,27.68,26.58
168,0.0905,0.0681,27.58,26.59
169,0.0905,0.0681,27.71,26.57
170,0.0905,0.0681,27.62,26.49
171,0.0905,0.068,27.66,26.57
172,0.0905,0.068,27.59,26.6
173,0.0906,0.0681,27.59,26.62
174,0.0905,0.0681,27.68,26.61
175,0.0905,0.068,27.53,26.5
176,0.0905,0.0681,27.62,26.59
177,0.0905,0.0681,27.64,26.5
178,0.0905,0.068,27.67,26.61
179,0.0905,0.068,27.44,26.44
180,0.0905,0.068,27.73,26.64
181,0.0905,0.068,27.57,26.56
182,0.0905,0.068,27.73,26.64
183,0.0905,0.068,27.73,26.58
184,0.0904,0.068,27.66,26.53
185,0.0905,0.068,27.27,26.44
186,0.0905,0.068,27.6,26.48
187,0.0905,0.068,27.42,26.45
188,0.0904,0.068,27.47,26.54
189,0.0905,0.068,27.46,26.52
190,0.0904,0.068,27.68,26.63
191,0.0905,0.068,27.7,26.6
192,0.0904,0.068,27.72,26.57
193,0.0905,0.068,27.54,26.47
194,0.0904,0.068,27.74,26.58
195,0.0904,0.068,27.71,26.63
196,0.0904,0.068,27.7,26.59
197,0.0904,0.068,27.66,26.57
